School,Role,Email,Password,First Name,Last Name
La Salle University,Student,ella.gonzalez70@lasalleuniversity.edu.ph,Student123!,Ella,Gonzalez
La Salle University,Student,marianne.huang62@lasalleuniversity.edu.ph,Student123!,Marianne,Huang
La Salle University,Student,joshua.davis50@lasalleuniversity.edu.ph,Student123!,Joshua,Davis
La Salle University,Student,luis.hassan72@lasalleuniversity.edu.ph,Student123!,Luis,Hassan
La Salle University,Student,elizabeth.harris8@lasalleuniversity.edu.ph,Student123!,Elizabeth,Harris
La Salle University,Student,fatima.cruz65@lasalleuniversity.edu.ph,Student123!,Fatima,Cruz
La Salle University,Student,joseph.pascual9@lasalleuniversity.edu.ph,Student123!,Joseph,Pascual
La Salle University,Student,kenji.walker32@lasalleuniversity.edu.ph,Student123!,Kenji,Walker
La Salle University,Student,addison.hernandez73@lasalleuniversity.edu.ph,Student123!,Addison,Hernandez
La Salle University,Student,katrina.king41@lasalleuniversity.edu.ph,Student123!,Katrina,King
La Salle University,Student,emma.taylor59@lasalleuniversity.edu.ph,Student123!,Emma,Taylor
La Salle University,Student,john.tolentino13@lasalleuniversity.edu.ph,Student123!,John,Tolentino
La Salle University,Student,grace.king9@lasalleuniversity.edu.ph,Student123!,Grace,King
La Salle University,Student,luis.lee91@lasalleuniversity.edu.ph,Student123!,Luis,Lee
La Salle University,Student,hiroshi.rao85@lasalleuniversity.edu.ph,Student123!,Hiroshi,Rao
La Salle University,Student,mateo.anderson20@lasalleuniversity.edu.ph,Student123!,Mateo,Anderson
La Salle University,Student,luke.clark88@lasalleuniversity.edu.ph,Student123!,Luke,Clark
La Salle University,Student,grace.domingo7@lasalleuniversity.edu.ph,Student123!,Grace,Domingo
La Salle University,Student,diya.scott82@lasalleuniversity.edu.ph,Student123!,Diya,Scott
La Salle University,Student,zainab.ocampo72@lasalleuniversity.edu.ph,Student123!,Zainab,Ocampo
La Salle University,Student,charles.ito48@lasalleuniversity.edu.ph,Student123!,Charles,Ito
La Salle University,Student,amelia.taylor6@lasalleuniversity.edu.ph,Student123!,Amelia,Taylor
La Salle University,Student,akira.young53@lasalleuniversity.edu.ph,Student123!,Akira,Young
La Salle University,Student,marianne.walker23@lasalleuniversity.edu.ph,Student123!,Marianne,Walker
La Salle University,Student,jessica.chen53@lasalleuniversity.edu.ph,Student123!,Jessica,Chen
La Salle University,Student,juan.lee49@lasalleuniversity.edu.ph,Student123!,Juan,Lee
La Salle University,Student,margaret.sanchez45@lasalleuniversity.edu.ph,Student123!,Margaret,Sanchez
La Salle University,Student,margaret.brown36@lasalleuniversity.edu.ph,Student123!,Margaret,Brown
La Salle University,Student,noah.yamamoto69@lasalleuniversity.edu.ph,Student123!,Noah,Yamamoto
La Salle University,Student,mark.king34@lasalleuniversity.edu.ph,Student123!,Mark,King
La Salle University,Student,dylan.villanueva41@lasalleuniversity.edu.ph,Student123!,Dylan,Villanueva
La Salle University,Student,logan.miranda91@lasalleuniversity.edu.ph,Student123!,Logan,Miranda
La Salle University,Student,aria.nair95@lasalleuniversity.edu.ph,Student123!,Aria,Nair
La Salle University,Student,elijah.villanueva43@lasalleuniversity.edu.ph,Student123!,Elijah,Villanueva
La Salle University,Student,leah.thomas65@lasalleuniversity.edu.ph,Student123!,Leah,Thomas
La Salle University,Student,valeria.singh17@lasalleuniversity.edu.ph,Student123!,Valeria,Singh
La Salle University,Student,hiroshi.chen23@lasalleuniversity.edu.ph,Student123!,Hiroshi,Chen
La Salle University,Student,olivia.aguilar27@lasalleuniversity.edu.ph,Student123!,Olivia,Aguilar
La Salle University,Student,ethan.ocampo66@lasalleuniversity.edu.ph,Student123!,Ethan,Ocampo
La Salle University,Student,leah.hernandez82@lasalleuniversity.edu.ph,Student123!,Leah,Hernandez
La Salle University,Student,daniel.rao40@lasalleuniversity.edu.ph,Student123!,Daniel,Rao
La Salle University,Student,linda.brown61@lasalleuniversity.edu.ph,Student123!,Linda,Brown
La Salle University,Student,jackson.ali92@lasalleuniversity.edu.ph,Student123!,Jackson,Ali
La Salle University,Student,olivia.young1@lasalleuniversity.edu.ph,Student123!,Olivia,Young
La Salle University,Student,margaret.thompson67@lasalleuniversity.edu.ph,Student123!,Margaret,Thompson
La Salle University,Student,gabriel.young60@lasalleuniversity.edu.ph,Student123!,Gabriel,Young
La Salle University,Student,rhea.huang93@lasalleuniversity.edu.ph,Student123!,Rhea,Huang
La Salle University,Student,diya.aguilar96@lasalleuniversity.edu.ph,Student123!,Diya,Aguilar
La Salle University,Student,mateo.huang36@lasalleuniversity.edu.ph,Student123!,Mateo,Huang
La Salle University,Student,aubrey.walker92@lasalleuniversity.edu.ph,Student123!,Aubrey,Walker
La Salle University,Student,juan.santos11@lasalleuniversity.edu.ph,Student123!,Juan,Santos
La Salle University,Student,sandra.park9@lasalleuniversity.edu.ph,Student123!,Sandra,Park
La Salle University,Student,mariana.molina27@lasalleuniversity.edu.ph,Student123!,Mariana,Molina
