School,Role,Email,Password,First Name,Last Name
La Salle University,SSG Officer,christopher.yamamoto24@lasalleuniversity.edu.ph,Student123!,Christopher,Yamamoto
La Salle University,SSG Officer,katrina.king41@lasalleuniversity.edu.ph,Student123!,Katrina,King
La Salle University,SSG Officer,tariq.watanabe6@lasalleuniversity.edu.ph,Student123!,Tariq,Watanabe
La Salle University,SSG Officer,diya.scott82@lasalleuniversity.edu.ph,Student123!,Diya,Scott
La Salle University,SSG Officer,alejandro.thomas78@lasalleuniversity.edu.ph,Student123!,Alejandro,Thomas
La Salle University,SG Officer (College of Criminal Justice Student Gov),zainab.ocampo72@lasalleuniversity.edu.ph,Student123!,Zainab,Ocampo
La Salle University,SG Officer (College of Criminal Justice Student Gov),diya.scott82@lasalleuniversity.edu.ph,Student123!,Diya,Scott
La Salle University,SG Officer (College of Medicine Student Gov),tariq.watanabe6@lasalleuniversity.edu.ph,Student123!,Tariq,Watanabe
La Salle University,SG Officer (College of Engineering Student Gov),tariq.watanabe6@lasalleuniversity.edu.ph,Student123!,Tariq,Watanabe
La Salle University,SG Officer (College of Dentistry Student Gov),rhea.thomas64@lasalleuniversity.edu.ph,Student123!,Rhea,Thomas
La Salle University,SG Officer (College of Dentistry Student Gov),omar.ali61@lasalleuniversity.edu.ph,Student123!,Omar,Ali
La Salle University,SG Officer (College of Arts and Sciences Student Gov),enrico.martin45@lasalleuniversity.edu.ph,Student123!,Enrico,Martin
La Salle University,SG Officer (College of Arts and Sciences Student Gov),omar.ali61@lasalleuniversity.edu.ph,Student123!,Omar,Ali
La Salle University,SG Officer (College of Computer Studies Student Gov),aoi.alcantara7@lasalleuniversity.edu.ph,Student123!,Aoi,Alcantara
La Salle University,SG Officer (College of Maritime Studies Student Gov),tariq.watanabe6@lasalleuniversity.edu.ph,Student123!,Tariq,Watanabe
La Salle University,SG Officer (College of Maritime Studies Student Gov),omar.ali61@lasalleuniversity.edu.ph,Student123!,Omar,Ali
La Salle University,SG Officer (College of Maritime Studies Student Gov),christopher.yamamoto24@lasalleuniversity.edu.ph,Student123!,Christopher,Yamamoto
La Salle University,SG Officer (College of Agriculture and Forestry Student Gov),elijah.villanueva43@lasalleuniversity.edu.ph,Student123!,Elijah,Villanueva
La Salle University,SG Officer (College of Agriculture and Forestry Student Gov),marianne.huang62@lasalleuniversity.edu.ph,Student123!,Marianne,Huang
La Salle University,SG Officer (College of Agriculture and Forestry Student Gov),james.das61@lasalleuniversity.edu.ph,Student123!,James,Das
La Salle University,ORG Officer (COLLEGE OF Sub-Org 1),marianne.huang62@lasalleuniversity.edu.ph,Student123!,Marianne,Huang
La Salle University,ORG Officer (COLLEGE OF Sub-Org 1),oliver.nakamura33@lasalleuniversity.edu.ph,Student123!,Oliver,Nakamura
La Salle University,ORG Officer (COLLEGE OF Sub-Org 1),rhea.thomas64@lasalleuniversity.edu.ph,Student123!,Rhea,Thomas
La Salle University,ORG Officer (COLLEGE OF Sub-Org 1),omar.ali61@lasalleuniversity.edu.ph,Student123!,Omar,Ali
La Salle University,ORG Officer (COLLEGE OF Sub-Org 2),tariq.watanabe6@lasalleuniversity.edu.ph,Student123!,Tariq,Watanabe
La Salle University,ORG Officer (COLLEGE OF Sub-Org 1),christopher.yamamoto24@lasalleuniversity.edu.ph,Student123!,Christopher,Yamamoto
La Salle University,ORG Officer (COLLEGE OF Sub-Org 1),mariana.molina27@lasalleuniversity.edu.ph,Student123!,Mariana,Molina
La Salle University,ORG Officer (COLLEGE OF Sub-Org 2),christopher.yamamoto24@lasalleuniversity.edu.ph,Student123!,Christopher,Yamamoto
La Salle University,ORG Officer (COLLEGE OF Sub-Org 1),james.das61@lasalleuniversity.edu.ph,Student123!,James,Das
La Salle University,ORG Officer (COLLEGE OF Sub-Org 1),aarav.ferrer55@lasalleuniversity.edu.ph,Student123!,Aarav,Ferrer
La Salle University,ORG Officer (COLLEGE OF Sub-Org 2),james.das61@lasalleuniversity.edu.ph,Student123!,James,Das
Misamis University,SSG Officer,karen.li8@misamisuniversity.edu.ph,Student123!,Karen,Li
Misamis University,SSG Officer,mia.miller43@misamisuniversity.edu.ph,Student123!,Mia,Miller
Misamis University,SSG Officer,addison.castillo68@misamisuniversity.edu.ph,Student123!,Addison,Castillo
Misamis University,SSG Officer,samuel.smith90@misamisuniversity.edu.ph,Student123!,Samuel,Smith
Misamis University,SSG Officer,harper.ferrer53@misamisuniversity.edu.ph,Student123!,Harper,Ferrer
Misamis University,SG Officer (College of Nursing and Allied Health Student Gov),mia.miller43@misamisuniversity.edu.ph,Student123!,Mia,Miller
Misamis University,SG Officer (College of Nursing and Allied Health Student Gov),jackson.villanueva38@misamisuniversity.edu.ph,Student123!,Jackson,Villanueva
Misamis University,SG Officer (College of Nursing and Allied Health Student Gov),addison.castillo68@misamisuniversity.edu.ph,Student123!,Addison,Castillo
Misamis University,SG Officer (College of Maritime Studies Student Gov),susan.thomas62@misamisuniversity.edu.ph,Student123!,Susan,Thomas
Misamis University,SG Officer (College of Maritime Studies Student Gov),harper.ferrer53@misamisuniversity.edu.ph,Student123!,Harper,Ferrer
Misamis University,SG Officer (College of Maritime Studies Student Gov),susan.jain93@misamisuniversity.edu.ph,Student123!,Susan,Jain
Misamis University,SG Officer (College of Engineering Student Gov),karen.li8@misamisuniversity.edu.ph,Student123!,Karen,Li
