School,Role,Email,Password,First Name,Last Name
La Salle University,Student,betty.molina74@lasalleuniversity.edu.ph,Student123!,Betty,Molina
La Salle University,Student,alejandro.kumar25@lasalleuniversity.edu.ph,Student123!,Alejandro,Kumar
La Salle University,Student,leah.villanueva60@lasalleuniversity.edu.ph,Student123!,Leah,Villanueva
La Salle University,Student,joseph.singh14@lasalleuniversity.edu.ph,Student123!,Joseph,Singh
La Salle University,Student,karen.alcantara36@lasalleuniversity.edu.ph,Student123!,Karen Sr.,Alcantara
La Salle University,Student,jerome.martinez71@lasalleuniversity.edu.ph,Student123!,Jerome,Martinez
La Salle University,Student,zoe.molina97@lasalleuniversity.edu.ph,Student123!,Zoe Jr.,Molina
La Salle University,Student,ava.domingo8@lasalleuniversity.edu.ph,Student123!,Ava III,Domingo
La Salle University,Student,james.park59@lasalleuniversity.edu.ph,Student123!,James,Park
La Salle University,Student,mei.liu92@lasalleuniversity.edu.ph,Student123!,Mei,Liu
La Salle University,Student,karen.nguyen75@lasalleuniversity.edu.ph,Student123!,Karen,Nguyen
La Salle University,Student,fatima.cruz65@lasalleuniversity.edu.ph,Student123!,Fatima III,Cruz
La Salle University,Student,joseph.pascual9@lasalleuniversity.edu.ph,Student123!,Joseph,Pascual
La Salle University,Student,kenji.walker32@lasalleuniversity.edu.ph,Student123!,Kenji IV,Walker
La Salle University,Student,addison.hernandez73@lasalleuniversity.edu.ph,Student123!,Addison,Hernandez
La Salle University,Student,katrina.king41@lasalleuniversity.edu.ph,Student123!,Katrina,King
La Salle University,Student,emma.taylor59@lasalleuniversity.edu.ph,Student123!,Emma,Taylor
La Salle University,Student,john.tolentino13@lasalleuniversity.edu.ph,Student123!,John,Tolentino
La Salle University,Student,grace.king9@lasalleuniversity.edu.ph,Student123!,Grace,King
La Salle University,Student,luis.lee91@lasalleuniversity.edu.ph,Student123!,Luis,Lee
La Salle University,Student,hiroshi.rao18@lasalleuniversity.edu.ph,Student123!,Hiroshi Jr.,Rao
La Salle University,Student,christian.wilson35@lasalleuniversity.edu.ph,Student123!,Christian,Wilson
La Salle University,Student,hinata.gomez34@lasalleuniversity.edu.ph,Student123!,Hinata,Gomez
La Salle University,Student,carlos.miller36@lasalleuniversity.edu.ph,Student123!,Carlos,Miller
La Salle University,Student,mariana.gupta34@lasalleuniversity.edu.ph,Student123!,Mariana,Gupta
La Salle University,Student,ella.wang15@lasalleuniversity.edu.ph,Student123!,Ella,Wang
La Salle University,Student,abigail.jones71@lasalleuniversity.edu.ph,Student123!,Abigail,Jones
La Salle University,Student,patricia.garcia6@lasalleuniversity.edu.ph,Student123!,Patricia,Garcia
La Salle University,Student,akira.young53@lasalleuniversity.edu.ph,Student123!,Akira IV,Young
La Salle University,Student,marianne.walker23@lasalleuniversity.edu.ph,Student123!,Marianne,Walker
La Salle University,Student,jessica.chen53@lasalleuniversity.edu.ph,Student123!,Jessica,Chen
La Salle University,Student,juan.lee49@lasalleuniversity.edu.ph,Student123!,Juan,Lee
La Salle University,Student,margaret.sanchez45@lasalleuniversity.edu.ph,Student123!,Margaret,Sanchez
La Salle University,Student,margaret.brown36@lasalleuniversity.edu.ph,Student123!,Margaret II,Brown
La Salle University,Student,noah.yamamoto69@lasalleuniversity.edu.ph,Student123!,Noah,Yamamoto
La Salle University,Student,mark.king34@lasalleuniversity.edu.ph,Student123!,Mark,King
La Salle University,Student,dylan.villanueva41@lasalleuniversity.edu.ph,Student123!,Dylan,Villanueva
La Salle University,Student,logan.miranda1@lasalleuniversity.edu.ph,Student123!,Logan III,Miranda
La Salle University,Student,elijah.villanueva43@lasalleuniversity.edu.ph,Student123!,Elijah,Villanueva
La Salle University,Student,leah.thomas65@lasalleuniversity.edu.ph,Student123!,Leah,Thomas
La Salle University,Student,valeria.singh25@lasalleuniversity.edu.ph,Student123!,Valeria Sr.,Singh
La Salle University,Student,kenji.yang39@lasalleuniversity.edu.ph,Student123!,Kenji,Yang
