School,Role,Email,Password,First Name,Last Name
La Salle University,SSG Officer,ava.domingo8@lasalleuniversity.edu.ph,Student123!,Ava III,Domingo
La Salle University,SSG Officer,sandra.park9@lasalleuniversity.edu.ph,Student123!,Sandra Sr.,Park
La Salle University,SSG Officer,elijah.villanueva43@lasalleuniversity.edu.ph,Student123!,Elijah,Villanueva
La Salle University,SG Officer (College of Criminal Justice Student Gov),joseph.pascual9@lasalleuniversity.edu.ph,Student123!,Joseph,Pascual
La Salle University,SG Officer (College of Medicine Student Gov),aubrey.walker92@lasalleuniversity.edu.ph,Student123!,Aubrey,Walker
La Salle University,SG Officer (College of Medicine Student Gov),elijah.villanueva43@lasalleuniversity.edu.ph,Student123!,Elijah,Villanueva
La Salle University,SG Officer (College of Medicine Student Gov),aarav.ferrer55@lasalleuniversity.edu.ph,Student123!,Aarav IV,Ferrer
La Salle University,SG Officer (College of Engineering Student Gov),rhea.rizal84@lasalleuniversity.edu.ph,Student123!,Rhea,Rizal
La Salle University,SG Officer (College of Engineering Student Gov),mariana.molina27@lasalleuniversity.edu.ph,Student123!,Mariana,Molina
La Salle University,SG Officer (College of Engineering Student Gov),leah.thomas65@lasalleuniversity.edu.ph,Student123!,Leah,Thomas
La Salle University,SG Officer (College of Dentistry Student Gov),jessica.liu35@lasalleuniversity.edu.ph,Student123!,Jessica,Liu
La Salle University,SG Officer (College of Dentistry Student Gov),linda.sato55@lasalleuniversity.edu.ph,Student123!,Linda Jr.,Sato
La Salle University,SG Officer (College of Arts and Sciences Student Gov),mariana.molina27@lasalleuniversity.edu.ph,Student123!,Mariana,Molina
La Salle University,SG Officer (College of Arts and Sciences Student Gov),elijah.villanueva43@lasalleuniversity.edu.ph,Student123!,Elijah,Villanueva
La Salle University,SG Officer (College of Arts and Sciences Student Gov),leah.thomas65@lasalleuniversity.edu.ph,Student123!,Leah,Thomas
La Salle University,SG Officer (College of Computer Studies Student Gov),leah.thomas65@lasalleuniversity.edu.ph,Student123!,Leah,Thomas
La Salle University,SG Officer (College of Maritime Studies Student Gov),elijah.villanueva43@lasalleuniversity.edu.ph,Student123!,Elijah,Villanueva
La Salle University,SG Officer (College of Maritime Studies Student Gov),aarav.ferrer55@lasalleuniversity.edu.ph,Student123!,Aarav IV,Ferrer
La Salle University,SG Officer (College of Maritime Studies Student Gov),joseph.pascual9@lasalleuniversity.edu.ph,Student123!,Joseph,Pascual
La Salle University,SG Officer (College of Agriculture and Forestry Student Gov),ava.domingo8@lasalleuniversity.edu.ph,Student123!,Ava III,Domingo
La Salle University,SG Officer (College of Agriculture and Forestry Student Gov),leah.thomas65@lasalleuniversity.edu.ph,Student123!,Leah,Thomas
La Salle University,SG Officer (College of Agriculture and Forestry Student Gov),mariana.molina27@lasalleuniversity.edu.ph,Student123!,Mariana,Molina
La Salle University,ORG Officer (COLLEGE OF Sub-Org 1),mariana.molina27@lasalleuniversity.edu.ph,Student123!,Mariana,Molina
La Salle University,ORG Officer (COLLEGE OF Sub-Org 1),linda.sato55@lasalleuniversity.edu.ph,Student123!,Linda Jr.,Sato
La Salle University,ORG Officer (COLLEGE OF Sub-Org 1),aarav.ferrer55@lasalleuniversity.edu.ph,Student123!,Aarav IV,Ferrer
La Salle University,ORG Officer (COLLEGE OF Sub-Org 2),leah.thomas65@lasalleuniversity.edu.ph,Student123!,Leah,Thomas
La Salle University,ORG Officer (COLLEGE OF Sub-Org 1),jessica.liu35@lasalleuniversity.edu.ph,Student123!,Jessica,Liu
La Salle University,ORG Officer (COLLEGE OF Sub-Org 2),aarav.ferrer55@lasalleuniversity.edu.ph,Student123!,Aarav IV,Ferrer
La Salle University,ORG Officer (COLLEGE OF Sub-Org 2),rhea.rizal84@lasalleuniversity.edu.ph,Student123!,Rhea,Rizal
La Salle University,ORG Officer (COLLEGE OF Sub-Org 1),aubrey.walker92@lasalleuniversity.edu.ph,Student123!,Aubrey,Walker
La Salle University,ORG Officer (COLLEGE OF Sub-Org 2),leah.thomas65@lasalleuniversity.edu.ph,Student123!,Leah,Thomas
Misamis University,SSG Officer,margaret.young5@misamisuniversity.edu.ph,Student123!,Margaret,Young
Misamis University,SSG Officer,hannah.nguyen18@misamisuniversity.edu.ph,Student123!,Hannah Sr.,Nguyen
Misamis University,SSG Officer,zainab.kumar83@misamisuniversity.edu.ph,Student123!,Zainab,Kumar
Misamis University,SG Officer (College of Engineering Student Gov),margaret.young5@misamisuniversity.edu.ph,Student123!,Margaret,Young
Misamis University,SG Officer (College of Engineering Student Gov),betty.chen24@misamisuniversity.edu.ph,Student123!,Betty III,Chen
Misamis University,SG Officer (College of Arts and Sciences Student Gov),evelyn.chen77@misamisuniversity.edu.ph,Student123!,Evelyn,Chen
Misamis University,SG Officer (College of Law Student Gov),chloe.allen12@misamisuniversity.edu.ph,Student123!,Chloe Jr.,Allen
Misamis University,SG Officer (College of Criminal Justice Student Gov),richard.tanaka52@misamisuniversity.edu.ph,Student123!,Richard Jr.,Tanaka
